Brand,Cigar Name,Factory Name,Ring Gauge,Length (mm),Length (inches),Vitola/Shape,Status,Release Year,Discontinued Year,Construction,Notes,cigar_name_norm,brand_norm,Description,Length mm,Length inches,Vitola,Assets,Package,Stock,Packaging
Belinda,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1990s,Handmade,,coronas,belinda,,,,,,,,
Belinda,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1990s,Handmade,,petit coronas,belinda,,,,,,,,
Bolívar,Royal Coronas,Robustos,50.0,124.0,4⅞,Robusto,Current,1969,,Handmade,Full strength,royal coronas,bolívar,,,,,,,,
Bolívar,Libertador,Sublimes,54.0,164.0,6½,Double Robusto,Current,2013,,Handmade,LCDH Exclusive,libertador,bolívar,,,,,,,,
Bolívar,Belicosos Finos,Campanas,52.0,140.0,5½,Pyramid,Current,Pre-1960,,Handmade,Full strength,belicosos finos,bolívar,,,,,,,,
Bolívar,Bolívar Tubos No.2,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Full strength - tubes,bolívar tubos no.2,bolívar,,,,,,,,
Bolívar,Coronas Junior,Minutos,42.0,110.0,4⅜,Petit Corona,Current,Pre-1960,,Handmade,Full strength,coronas junior,bolívar,,,,,,,,
Cabañas,Royales,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,2005,Handmade,,royales,cabañas,,,,,,,,
Cabañas,Panetelas Extra,Conchitas,35.0,127.0,5,Short Panetela,Discontinued,Pre-1960,2005,Handmade,,panetelas extra,cabañas,,,,,,,,
Calixto López,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,coronas,calixto lópez,,,,,,,,
Caney,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,caney,,,,,,,,
Cifuentes,Gran Corona,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Discontinued,Pre-1960,1970s,Handmade,Cifuentes family brand,gran corona,cifuentes,,,,,,,,
Cifuentes,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,Cifuentes family brand,coronas,cifuentes,,,,,,,,
Cohiba,Lanceros,Laguito No.1,38.0,192.0,7½,Long Panetela,Current,1964,,Handmade,Original diplomatic gift,lanceros,cohiba,,,,,,,,
Cohiba,Coronas Especiales,Laguito No.2,38.0,152.0,6,Panetela,Current,1967,,Handmade,,coronas especiales,cohiba,,,,,,,,
Cohiba,Panetelas,Laguito No.3,26.0,115.0,4½,Small Panetela,Current,1967,,Handmade,,panetelas,cohiba,,,,,,,,
